x	y1	y2	y3	y4
2000	1713	2308	1850	2297
4000	3229	4390	3508	4528
6000	4743	6477	5164	6949
8000	6225	8564	6826	9280
10000	7769	10651	8485	11689
12000	9279	12738	10141	14107
14000	10787	14802	11789	16415
16000	12296	16863	13432	18821
18000	13805	18926	15042	21035
20000	15319	20988	16652	23397
22000	16835	23051	18266	25775
24000	18345	25112	19880	27918
26000	19864	27169	21496	30286
28000	21374	29226	23115	32656
30000	22886	31285	24794	34918
32000	24392	33342	26448	37225
34000	25900	35348	28096	39445
36000	27413	37410	29741	41759
38000	28924	39480	31403	43984
40000	30434	41529	33054	46209
42000	31943	43593	34701	48587
44000	33454	45654	36352	50786
46000	34969	47717	38003	53095
48000	36488	49777	39654	55476
50000	38001	51836	41303	57700
